Suburb,State,Postcode,Lat,Lng,Bounds_N,Bounds_E,Bounds_S,Bounds_W
Abba River,WA,6280,-33.7555447,115.3311689,-33.575283,115.5878654,-33.8397328,114.9866678
Abbeyard,VIC,3737,-36.8466834,146.6962857,-36.4280907,147.1172403,-37.2157665,146.5664528
Abbeywood,QLD,4613,-26.1648642,151.6024678,-26.0019248,151.6965824,-26.3498387,151.013243
Abbotsbury,NSW,2176,-33.8709405,150.8783824,-33.8464578,150.9188397,-33.8910441,150.8424476
Abbotsford,NSW,2046,-33.8566687,151.1315813,-33.8436757,151.1498009,-33.8741901,151.1116136
Abbotsford,VIC,3067,-37.8023601,144.9983623,-37.7952899,145.0158347,-37.8121429,144.9913709
Abbotsham,TAS,7315,-41.3068098,146.1037444,-41.1215665,146.2788947,-41.4962634,145.8519321
Abels Bay,TAS,7112,-43.1426974,147.1092455,-43.0862732,147.225638,-43.2831152,147.0322882
Abercorn,QLD,4627,-25.3721972,151.1215391,-25.0274198,151.3405533,-25.7366685,150.3696494
Aberdeen,NSW,2336,-32.1089351,151.1869325,-31.8380762,151.3346493,-32.2372644,150.5885727
Aberfeldie,VIC,3040,-37.7493029,144.9006313,-37.7373279,144.9350492,-37.7658044,144.8770649
Aberfoyle Park,SA,5159,-35.0684302,138.5887875,-35.0291783,138.6450326,-35.1086438,138.5457617
Abermain,NSW,2326,-32.787791,151.4552213,-32.7302144,151.5131447,-32.8543184,151.3957588
Abernethy,NSW,2325,-32.9380528,151.1869325,-32.7447487,151.4713226,-33.1299019,150.8310154
Acacia Creek,NSW,2476,-28.3950477,152.4269361,-28.2492441,152.6911836,-28.6026512,152.1791743
Acacia Gardens,NSW,2763,-33.7206583,150.8900145,-33.7101583,150.9214013,-33.7473179,150.8658514
Acacia Hills,TAS,7306,-41.6653269,146.0234118,-41.2493048,146.4590393,-41.8864372,145.6693293
Acacia Ridge,QLD,4110,-27.6166842,153.0166574,-27.569333,153.0458789,-27.6574199,152.9713377
Acheron,VIC,3714,-37.1872994,145.6245586,-37.0443318,145.8923062,-37.4183909,145.5520401
Acland,QLD,4401,-27.3203817,151.7473377,-27.1935279,151.8593724,-27.6187975,151.5469566
Acton,ACT,2601,-35.2809942,149.1213974,-35.2653714,149.1376675,-35.2968579,149.0975111
Acton Park,TAS,7170,-42.8507505,147.4680759,-42.7740957,147.6133831,-42.9064656,147.3827832
Acton Park,WA,6280,-33.7555447,115.3311689,-33.575283,115.5878654,-33.8397328,114.9866678
Ada,VIC,3833,-37.7865626,146.0696009,-37.7020777,146.4562769,-38.0240509,145.7310554
Adaminaby,NSW,2629,-36.0002232,148.7831534,-35.5626363,148.9288919,-36.1336329,148.3252141
Adams Estate,VIC,3984,-38.3114378,145.5579927,-38.1914999,145.6942849,-38.447435,145.4164057
Adamstown,NSW,2289,-32.9481404,151.7064109,-32.9276015,151.7389936,-32.9594783,151.6711878
Adamstown Heights,NSW,2289,-32.9481404,151.7064109,-32.9276015,151.7389936,-32.9594783,151.6711878
Adamsvale,WA,6375,-32.3364811,117.8780275,-32.1497018,118.2083009,-32.5675068,117.596156
Adavale,QLD,4474,-26.5888103,145.0175722,-24.6489573,145.4625732,-27.1847316,143.9768697
Adavale,QLD,4475,-26.6292813,145.0142027,-26.6278847,145.0181498,-26.630541,145.0131973
Adelaide,SA,5000,-34.9328294,138.6038129,-34.9091178,138.6244769,-34.9421596,138.5770602
Adelaide Airport,SA,5950,-34.9454042,138.5237246,-34.9325023,138.5491216,-34.9628098,138.5140121
Adelaide River,NT,0846,-13.1748284,131.1401349,-13.1025373,131.2389778,-13.2528181,131.0958779
Adjungbilly,NSW,2727,-35.0518395,148.4401655,-34.8984564,148.5830943,-35.1646201,148.2605408
Advancetown,QLD,4211,-27.995579,153.3222261,-27.923956,153.395364,-28.3578411,153.0079025
Aeroglen,QLD,4870,-16.918648,145.7405497,-16.8453462,145.7965497,-17.176471,145.6145881
Agnes,VIC,3962,-38.6183432,146.3488562,-38.4943304,146.4173017,-38.7202627,146.264257
Agnes Banks,NSW,2753,-33.6149421,150.6981989,-33.5456567,150.7994317,-33.6899817,150.5970764
Agnes Water,QLD,4677,-24.3287726,151.5580962,-23.9577532,151.9673921,-24.5410849,151.4153494
Ainslie,ACT,2602,-35.2544049,149.1328799,-35.222594,149.1813492,-35.2997476,149.0702403
Airdmillan,QLD,4807,-19.9200364,147.1464245,-19.3050271,147.6190775,-20.3967995,146.8814643
Aire Valley,VIC,3237,-38.6505708,143.4554195,-38.5689409,143.6795929,-38.7729889,143.1723589
Aireys Inlet,VIC,3231,-38.451657,144.0521131,-38.4064909,144.1309095,-38.497365,143.9800208
Airlie Beach,QLD,4802,-20.2674989,148.7169163,-19.9948684,150.6919179,-20.6214132,148.5524922
Airport West,VIC,3042,-37.7245197,144.8758725,-37.709325,144.8934674,-37.74889,144.8376567
Aitkenvale,QLD,4814,-19.2878252,146.7552341,-19.2289169,146.8145144,-19.3534194,146.7105336
Akaroa,TAS,7216,-41.2708866,148.1277503,-41.0982567,148.3591169,-41.4208742,147.8407116
Akolele,NSW,2546,-36.2586281,149.9797036,-36.1278567,150.1498139,-36.5716274,149.5235996
Alawa,NT,0810,-12.3675944,130.8677469,-12.3215608,130.9060191,-12.402662,130.8246358
Alawoona,SA,5311,-34.5909184,140.7624493,-34.3227906,140.9650908,-35.0195943,139.9172203
Albacutya,VIC,3424,-35.8357024,141.9791849,-35.5661173,142.2031011,-36.027362,141.7065014
Albanvale,VIC,3021,-37.7435941,144.8016402,-37.725558,144.8391831,-37.7683741,144.7569397
Albany Creek,QLD,4035,-27.3565346,152.9794406,-27.330056,153.0095076,-27.3732094,152.9481675
Albert Park,SA,5014,-34.8680352,138.5137217,-34.8521046,138.5294025,-34.8841813,138.5021748
Albert Park,VIC,3206,-37.8460268,144.9584302,-37.8370924,144.9789419,-37.8574821,144.9426203
Alberton,SA,5014,-34.8680352,138.5137217,-34.8521046,138.5294025,-34.8841813,138.5021748
Alberton,TAS,7263,-41.2926877,147.7111044,-41.172227,147.8784257,-41.3614748,147.5611655
Albion,QLD,4010,-27.4307455,153.0427215,-27.424737,153.0492471,-27.441948,153.036312
Albion,QLD,4822,-20.031224,143.045893,-19.0020337,143.790081,-21.6674941,142.0376056
Albion,VIC,3020,-37.7791149,144.823628,-37.7461519,144.8542668,-37.8168895,144.787363
Albion Park,NSW,2527,-34.5764532,150.7562989,-34.5432597,150.8453984,-34.6220993,150.643814
Albion Park Rail,NSW,2527,-34.5764532,150.7562989,-34.5432597,150.8453984,-34.6220993,150.643814
Alderley,QLD,4051,-27.4261914,152.9882693,-27.4094584,153.0243148,-27.4451083,152.9483618
Aldersyde,WA,6306,-32.3458877,117.1264753,-32.1888513,117.6136699,-32.4923632,116.5343703
Aldgate,SA,5154,-35.0183091,138.7442455,-34.997278,138.7559832,-35.0348,138.7147701
Aldinga,SA,5173,-35.2806692,138.4737282,-35.2430244,138.4981075,-35.3192824,138.4414559
Aldinga Beach,SA,5173,-35.2806692,138.4737282,-35.2430244,138.4981075,-35.3192824,138.4414559
Aldoga,QLD,4694,-23.7919288,151.1170184,-23.6458756,151.1885572,-23.9178506,150.9987739
Alectown,NSW,2870,-33.0218853,148.2804541,-32.8318742,148.5871248,-33.3731753,147.8967464
Alexander Heights,WA,6064,-31.8364571,115.8462613,-31.8197637,115.8781303,-31.8506105,115.8204573
Alexandra,VIC,3714,-37.1872994,145.6245586,-37.0443318,145.8923062,-37.4183909,145.5520401
Alexandra Bridge,WA,6288,-34.1779168,115.2126293,-34.0839646,115.3370928,-34.3180339,115.0230621
Alexandra Headland,QLD,4572,-26.6715056,153.1045489,-26.6631254,153.1155559,-26.6761357,153.0931013
Alexandra Hills,QLD,4161,-27.522958,153.220588,-27.512677,153.2510786,-27.565637,153.2072326
Alexandria,NSW,2015,-33.9087966,151.195674,-33.8915929,151.2030156,-33.921477,151.1806897
Alford,SA,5555,-33.8149381,137.8032284,-33.5403507,138.2952525,-33.9157433,137.6621924
Alfords Point,NSW,2234,-34.0161592,151.006385,-33.9757808,151.069015,-34.0603729,150.9587949
Alfred Cove,WA,6154,-32.0397876,115.8255575,-32.0262304,115.8457585,-32.0470412,115.8085839
Algester,QLD,4115,-27.6113884,153.0336149,-27.597508,153.0467459,-27.660244,153.0150349
Alice Creek,QLD,4610,-26.5397645,151.84313,-26.276698,152.0118352,-26.8033464,151.0768325
Alice River,QLD,4817,-19.3321474,146.6060735,-19.2565461,146.7472654,-19.6294558,146.3387372
Alice Springs,NT,0870,-23.7018903,133.8768733,-23.6602461,133.9149521,-23.7761029,133.7259758
Alison,NSW,2259,-33.2059456,151.3501856,-33.0437193,151.638872,-33.325319,151.2073114
Alison,NSW,2420,-32.3296556,151.7473377,-32.0495243,151.9186955,-32.5908691,151.465494
Alkimos,WA,6038,-31.6171563,115.6805868,-31.5989557,115.7087121,-31.6312539,115.651309
Allambee,VIC,3823,-38.2245094,146.0584482,-38.121797,146.1383269,-38.3327695,145.9971199
Allambee Reserve,VIC,3871,-38.4049813,146.1812023,-38.2667129,146.3036658,-38.5859451,146.0163904
Allambee South,VIC,3871,-38.4049813,146.1812023,-38.2667129,146.3036658,-38.5859451,146.0163904
Allambie Heights,NSW,2100,-33.7645979,151.2627078,-33.7147276,151.2828114,-33.7856908,151.227105
Allan,QLD,4370,-28.215734,152.0281585,-27.9864819,152.4699182,-28.4806262,151.6124651
Allandale,QLD,4310,-28.0413603,152.6853649,-27.8513151,152.9038133,-28.3389356,152.4582055
Allanooka,WA,6525,-29.2906134,115.0465991,-28.9787726,115.2646471,-29.7025089,114.8265758
Allansford,VIC,3277,-38.4034955,142.6814062,-38.3504978,142.8515749,-38.4960192,142.544232
Allawah,NSW,2218,-33.9712426,151.1199309,-33.9598921,151.131071,-33.981578,151.1081724
Alleena,NSW,2671,-33.8840393,147.3722545,-33.3851963,147.6372919,-34.174302,146.7299681
Allenby Gardens,SA,5009,-34.8950354,138.5512419,-34.8719557,138.557819,-34.9124809,138.5405932
Allendale North,SA,5373,-34.275645,138.9202828,-34.1875626,139.0803576,-34.4302928,138.7722999
Allens Rivulet,TAS,7150,-43.3937074,147.2679116,-42.9560591,147.4332704,-43.5161667,146.999846
Allenstown,QLD,4700,-23.3762489,150.5004652,-23.0098509,151.1401603,-23.4624594,150.4292905
Allestree,VIC,3305,-38.290126,141.4706543,-38.0374368,141.6970433,-38.4329732,141.2243893
Allgomera,NSW,2441,-31.2127192,152.8029443,-30.7446909,153.0271656,-31.3641976,152.4723968
Alligator Creek,QLD,4740,-21.1499948,149.1271385,-20.8917034,149.3149257,-21.4126773,148.908238
Allora,QLD,4362,-28.0334119,151.9831687,-27.9428265,152.3890566,-28.1222677,151.8204878
Allworth,NSW,2425,-32.4809178,152.0282394,-32.2672055,152.1222031,-32.6133101,151.8839709
Allynbrook,NSW,2311,-32.2611927,151.4668962,-32.0424717,151.6632921,-32.4623203,151.3037456
Alma,SA,5401,-34.2615181,138.6589406,-34.1404754,138.7219122,-34.4027055,138.5479313
Alma,WA,6535,-28.2831844,114.6192899,-27.8531386,115.0222383,-28.5438779,114.1083545
Alma Park,NSW,2659,-35.7436011,146.8760951,-35.5538559,146.9740061,-35.8532333,146.7212567
Almonds,VIC,3727,-36.2467001,145.958135,-36.1701909,146.1127502,-36.2992157,145.7761579
Almurta,VIC,3979,-38.4509941,145.6134608,-38.414905,145.6837876,-38.5402938,145.5420667
Alpha,QLD,4724,-23.6500118,146.6333144,-22.7554137,147.286615,-24.4458094,146.1550104
Alphington,VIC,3078,-37.7824868,145.0190242,-37.7651879,145.0452671,-37.8036746,145.0011352
Alstonvale,NSW,2477,-28.9094612,153.4154233,-28.7548309,153.510679,-29.0010987,153.3624948
Alstonville,NSW,2477,-28.9094612,153.4154233,-28.7548309,153.510679,-29.0010987,153.3624948
Altona,SA,5351,-34.6448853,138.9202828,-34.5462451,139.0531538,-34.7758145,138.7865575
Altona,VIC,3018,-37.859343,144.8126334,-37.8445177,144.8677146,-37.8819955,144.777726
Altona Meadows,VIC,3028,-37.8760399,144.7796581,-37.8441716,144.8083942,-37.9000543,144.7504168
Altona North,VIC,3025,-37.8388686,144.8346241,-37.8242699,144.8671027,-37.852412,144.785132
Alyangula,NT,0885,-13.8528647,136.4224871,-13.8397869,136.432565,-13.862211,136.408878
Amaroo,ACT,2914,-35.1615038,149.1386215,-35.1244158,149.2007159,-35.2308919,149.0624075
Amaroo,NSW,2866,-32.9287927,148.96649,-32.8003518,149.2818694,-33.2422712,148.7038887
Amaroo,QLD,4829,-23.5827727,139.6911374,-22.1354629,141.1222568,-25.3749485,137.9969533
